participant, portion_rooms_visited, num_room_revisits, portion_revisiting_rooms
1, 1.0, 34, 0.8384
2, 0.9444444444444444, 36, 0.6052631578947368
4, 1.0, 51, 0.7770360480640854
7, 0.7222222222222222, 10, 0.503209242618742
9, 0.9444444444444444, 12, 0.48246844319775595
12, 1.0, 48, 0.7496522948539638
13, 0.8333333333333334, 3, 0.30472103004291845
14, 0.7222222222222222, 9, 0.449868073878628
16, 1.0, 17, 0.4393063583815029
17, 1.0, 62, 0.6615581098339719
18, 0.8888888888888888, 47, 0.6737804878048781
19, 1.0, 68, 0.6745341614906832
20, 0.9444444444444444, 34, 0.748378728923476
21, 1.0, 29, 0.614406779661017
22, 0.8888888888888888, 30, 0.5334507042253521
24, 0.9444444444444444, 51, 0.8524590163934426
25, 0.9444444444444444, 67, 0.7515225334957369
26, 0.9444444444444444, 14, 0.6416040100250626
27, 1.0, 49, 0.71875
28, 0.9444444444444444, 12, 0.3924050632911392
29, 1.0, 23, 0.5365296803652968
32, 0.8333333333333334, 21, 0.6319444444444444
33, 1.0, 26, 0.7004048582995951
36, 1.0, 45, 0.7153558052434457
37, 0.7777777777777778, 15, 0.6074270557029178
38, 0.6111111111111112, 10, 0.5712074303405573
39, 1.0, 14, 0.3953147877013177
40, 0.9444444444444444, 8, 0.42857142857142855
41, 1.0, 9, 0.4312796208530806
42, 0.8888888888888888, 6, 0.44886363636363635
43, 1.0, 13, 0.4570815450643777
44, 0.8888888888888888, 26, 0.6662484316185696
45, 0.8888888888888888, 17, 0.501891551071879
46, 0.9444444444444444, 6, 0.35804195804195804
47, 0.8888888888888888, 24, 0.768595041322314
48, 1.0, 61, 0.7868421052631579
50, 1.0, 34, 0.6925098554533509
51, 1.0, 54, 0.6263871763255241
52, 0.8333333333333334, 8, 0.37733142037302725
